Curso;Secciones;Fecha;Sala;N°;Cantidad Salas
ICH2124;1;31-Mar;A7;I1;1
IEE2103;1;31-Mar;K202,K203;I1;2
ICE2313;1;31-Mar;A5,A6;I1;2
IEE2613;1;31-Mar;A4;I1;1
IEE2413;1;31-Mar;B23;I1;1
ICM2413;1;31-Mar;B11;I1;1
IIC2143;1;31-Mar;B21,B22;I1;2
ICT2233;1;31-Mar;K200;I1;1
ICS2563;1;31-Mar;BC23,BC24;I1;2
IMT3130;1;31-Mar;K307;I1;1
ICM2003;1;31-Mar;K304,K305;I1;2
ICM2028;1;31-Mar;K301,K302;I1;2
IIC2143;1;31-Mar;B12,B13;I1;2
ICT3435;1;31-Mar;K204;I1;1
IIQ2663;1;31-Mar;B14;I1;1
ICE3413;1;31-Mar;B18;I1;1
ICH1104;3,1,2;31-Mar;A1,A2,A3,B15,B17;I1;5
ICE2114;1;03-Apr;B22;I1;1
IMM2213;1;03-Apr;A1;I1;1
ICT3523;1;03-Apr;BC26;I1;1
ICC2913;1;03-Apr;A3;I1;1
ICC3914;1;03-Apr;BC25;I1;1
ICH2314;1;07-Apr;B22;I1;1
ICH1005;1;13-Apr;B21;I1;1
IIC2713;2;13-Apr;A5,A6;I1;2
IIC2713;2;13-Apr;B11,B12;I1;2
ICM3243;1;13-Apr;B25;I1;1
ICT3464;1;13-Apr;A1;I1;1
ICC2304;1;13-Apr;B22;I1;1
ICH2304;1;13-Apr;B24;I1;1
IEE2713;1;13-Apr;B23;I1;1
ICH3600;1;13-Apr;BC21;I1;1
ICS2123;3;13-Apr;A3,A4;I1;2
ICS3213;4,1,2,3;13-Apr;A2,B14,B16,B18;I1;4
ICH2574;1;14-Apr;BC26;I1;1
ICM2503;2,5,1,3,4;14-Apr;B14;I1;1
IMM2013;1;17-Apr;E11;I1;1
IMM3313;1;17-Apr;E14;I1;1
IMM2043;1;17-Apr;E13;I1;1
ICE2020;1;17-Apr;A3;I1;1
ICH2204;1;17-Apr;A6,A7;I1;2
ICH3374;1;17-Apr;E10;I1;1
IIQ2303;1;17-Apr;E12;I1;1
ICC2204;1;17-Apr;B23;I1;1
ICM3235;1;17-Apr;E17;I1;1
ICS3151;1;17-Apr;A2;I1;1
ICS3313;1;17-Apr;A4,A5;I1;2
MAT1640;4,1,2,5,3;17-Apr;B13,B15,B17,B21,K301,K302,K303,K304,K305,K307;I1;10
IEE2213;1;18-Apr;A5;I1;1
ICE3653;1;18-Apr;BC26;I1;1
IIC2764;1;18-Apr;BC24,BC25;I1;2
IMM2033;1;18-Apr;B17;I1;1
ICS1113;2,1,3,4;18-Apr;A1,A2,A3,A4,B14,B16,B18;I1;7
ICS2523;3;18-Apr;B22,B23,B24;I1;3
IIC3103;1;19-Apr;B22;I1;1
ICS3313;1;19-Apr;B14,B15,B16;I1;3
ICS2023;1;20-Apr;B22;I1;1
IIC2713;2;20-Apr;B24,B25;I1;2
IMM3323;1;20-Apr;A5;I1;1
ICS3811;1;20-Apr;B15;I1;1
EYP1113;2,4,3,1;20-Apr;A1,A2,A3,B14,B16,B17,B18;I1;7
ICE2604;1;21-Apr;B18;I1;1
ICM1001;1;21-Apr;B14;I1;1
ICC3124;1;21-Apr;B22;I1;1
ICM2223;1;21-Apr;B24;I1;1
ICT3113;3,1,2;21-Apr;B11;I1;1
IEE2463;1;24-Apr;B25;I1;1
ICE3613;1;24-Apr;B12;I1;1
IMT3150;1;24-Apr;A3;I1;1
ICC2105;1;24-Apr;B22;I1;1
ICS2563;1;24-Apr;B18;I1;1
ICC3543;1;24-Apr;BC26;I1;1
IIQ2673;1;24-Apr;B23;I1;1
IEE3234;1;24-Apr;BC25;I1;1
ICH3364;1;24-Apr;A5;I1;1
ICM2803;1;24-Apr;B14;I1;1
IIC2733;1;24-Apr;B24;I1;1
IIQ3343;1;24-Apr;B11;I1;1
ICM2813;2,1;24-Apr;B16;I1;1
ICH2114;1;25-Apr;K301,K304;I1;2
IIC3757;1;25-Apr;K302,K303;I1;2
ICC3434;1;25-Apr;BC21,BC22;I1;2
IIC2133;2;25-Apr;B13,BC24;I1;2
ICM2403;1;25-Apr;K305,K307;I1;2
ICE3513;1;25-Apr;K203;I1;1
ICE3663;1;25-Apr;K202;I1;1
IIQ2043;1;25-Apr;K200,K201;I1;2
IIC3242;1;25-Apr;B15,BC23;I1;2
MAT1203;3,1,12,8,4,5,2,6,13,9,7,11,14,10;25-Apr;A1,A2,A3,A4,A5,A6,A7,B11,B12,B14,B16,B17,B21,B22,B23,B24;I1;16
ICE2533;1;26-Apr;B22;I1;1
ICC3214;1;26-Apr;B14;I1;1
IIC3143;1;26-Apr;B18;I1;1
ICM2022;1;26-Apr;B24;I1;1
IIQ1003;1,2;26-Apr;B15,B16;I1;2
IMM2053;1;27-Apr;B16;I1;1
ICS2523;3;27-Apr;B18;I1;1
