nodo1,nodo2,distancia,"",_duplicated_0,_duplicated_1,_duplicated_2,_duplicated_3,_duplicated_4,_duplicated_5,_duplicated_6,_duplicated_7,_duplicated_8,_duplicated_9,_duplicated_10,_duplicated_11,_duplicated_12,_duplicated_13,_duplicated_14,_duplicated_15,_duplicated_16,_duplicated_17,_duplicated_18
AE001,AE002,1,,,,,,,,,,,,,,,,,,,,
AE002,AE003,1,,,,,,,,,,,,,,,,,,,,
AE003,AE102,5,,,,,,,,,,,,,,,,,,,,
AE004,AE003,1,,,,,,,,,,,,,,,,,,,,
AE101,AE001,5,,,,,,,,,,,,,,,,,,,,
AE102,AE101,1,,,,,,,,,,,,,,,,,,,,
AE102,AP102,100,,,,,,,,,,,,,,,,,,,,
AE102,AE002,5,,,,,,,,,,,,,,,,,,,,
AE201,AE101,5,,,,,,,,,,,,,,,,,,,,
AE201,AE202,1,,,,,,,,,,,,,,,,,,,,
AE202,AE203,1,,,,,,,,,,,,,,,,,,,,
AE203,AE102,5,,,,,,,,,,,,,,,,,,,,
A1,A2,1,,,,,,,,,,,,,,,,,,,,
A2,A4,1,,,,,,,,,,,,,,,,,,,,
A3,A4,1,,,,,,,,,,,,,,,,,,,,
A4,A6,1,,,,,,,,,,,,,,,,,,,,
A5,A6,1,,,,,,,,,,,,,,,,,,,,
A6,A7,1,,,,,,,,,,,,,,,,,,,,
A7,A7-B11,5,,,,,,,,,,,,,,,,,,,,
B11,A7-B11,5,,,,,,,,,,,,,,,,,,,,
B12,B11,1,,,,,,,,,,,,,,,,,,,,
B13,B12,1,,,,,,,,,,,,,,,,,,,,
B14,B17-14,1,,,,,,,,,,,,,,,,,,,,
B15,B14,1,,,,,,,,,,,,,,,,,,,,
B16,B15,1,,,,,,,,,,,,,,,,,,,,
B17,B17-14,1,,,,,,,,,,,,,,,,,,,,
B18,B17,1,,,,,,,,,,,,,,,,,,,,
B17-14,A2,1,,,,,,,,,,,,,,,,,,,,
B16-13,B13,1,,,,,,,,,,,,,,,,,,,,
B16-13,B16,1,,,,,,,,,,,,,,,,,,,,
B21-BC21,B16-13,5,,,,,,,,,,,,,,,,,,,,
B21,B21-BC21,1,,,,,,,,,,,,,,,,,,,,
B22,B21,1,,,,,,,,,,,,,,,,,,,,
B23,B22,1,,,,,,,,,,,,,,,,,,,,
B23,B17-14-B23,1,,,,,,,,,,,,,,,,,,,,
B17-14-B23,B17-14,5,,,,,,,,,,,,,,,,,,,,
B24,B17-14-B23,1,,,,,,,,,,,,,,,,,,,,
B25,B24,1,,,,,,,,,,,,,,,,,,,,
BC21,B21-BC21,1,,,,,,,,,,,,,,,,,,,,
BC22,BC21,1,,,,,,,,,,,,,,,,,,,,
BC23,BC22,1,,,,,,,,,,,,,,,,,,,,
BC24,BC23,1,,,,,,,,,,,,,,,,,,,,
BC25,BC24,1,,,,,,,,,,,,,,,,,,,,
BC26,BC25,1,,,,,,,,,,,,,,,,,,,,
D101,K204,100,,,,,,,,,,,,,,,,,,,,
D104,D101,1,,,,,,,,,,,,,,,,,,,,
D201,D202,1,,,,,,,,,,,,,,,,,,,,
D202,D101,5,,,,,,,,,,,,,,,,,,,,
D203,D202,1,,,,,,,,,,,,,,,,,,,,
D204,D203,1,,,,,,,,,,,,,,,,,,,,
D204,CS201,100,,,,,,,,,,,,,,,,,,,,
D301,D302,1,,,,,,,,,,,,,,,,,,,,
D302,D202,5,,,,,,,,,,,,,,,,,,,,
D303,D302,1,,,,,,,,,,,,,,,,,,,,
D304,D303,1,,,,,,,,,,,,,,,,,,,,
D305,D304,1,,,,,,,,,,,,,,,,,,,,
D306,D305,1,,,,,,,,,,,,,,,,,,,,
F201,A7-B11,50,,,,,,,,,,,,,,,,,,,,
F201,C203-003,10,,,,,,,,,,,,,,,,,,,,
AG1,AP102,100,,,,,,,,,,,,,,,,,,,,
AG1,AG2,1,,,,,,,,,,,,,,,,,,,,
AG2,AG3,1,,,,,,,,,,,,,,,,,,,,
AG3,M2,100,,,,,,,,,,,,,,,,,,,,
AG3,AG6,1,,,,,,,,,,,,,,,,,,,,
AG4,AGCV,1,,,,,,,,,,,,,,,,,,,,
AG5,AG4,1,,,,,,,,,,,,,,,,,,,,
AG6,AG5,1,,,,,,,,,,,,,,,,,,,,
AGCV,AG1,1,,,,,,,,,,,,,,,,,,,,
S11,S9,1,,,,,,,,,,,,,,,,,,,,
S13,S16,1,,,,,,,,,,,,,,,,,,,,
S14,S13,1,,,,,,,,,,,,,,,,,,,,
S14,S16,1,,,,,,,,,,,,,,,,,,,,
S15,S14,1,,,,,,,,,,,,,,,,,,,,
S16,S15,1,,,,,,,,,,,,,,,,,,,,
S19,S19-16,2,,,,,,,,,,,,,,,,,,,,
S19-16,S16,2,,,,,,,,,,,,,,,,,,,,
S19-16,AE102,100,,,,,,,,,,,,,,,,,,,,
S2,S6,5,,,,,,,,,,,,,,,,,,,,
