Curso;Seccion;N Interrogacion;Fecha;Vacantes
ICE2623;1;1;31-Mar;50
ICC1001;1;1;31-Mar;45
IIQ2043;1;1;31-Mar;100
MAT1610;17,13,18,19,9,11,10,12,8,16,14,20,7,15;1;31-Mar;1065
IIC1253;1;1;03-Apr;140
ICS2523;1;1;03-Apr;120
ICS2563;1;1;03-Apr;70
ICE3613;1;1;03-Apr;20
ICC3543;1;1;03-Apr;30
IIC2733;2;1;03-Apr;55
IEE3234;1;1;03-Apr;30
ICS3413;1;1;03-Apr;198
IIC2733;1;1;03-Apr;55
ICS3213;2;1;03-Apr;100
IEE2463;1;1;03-Apr;44
MAT1620;1,2,6,5;1;03-Apr;300
ICC3264;1;1;07-Apr;40
IMT2111;1;1;07-Apr;45
ICM3251;1;1;07-Apr;20
ICS3762;1;1;07-Apr;20
IEE3373;1;1;07-Apr;30
IIQ3643;1;1;07-Apr;20
IIC3103;1;1;07-Apr;100
ICE2114;1;1;07-Apr;95
ICE2604;1;1;13-Apr;95
ICH3222;1;1;13-Apr;25
ICS2523;4;1;13-Apr;50
ICM2223;1;1;13-Apr;60
ICE3233;1;1;13-Apr;40
IIQ2003;1;1;13-Apr;60
ICM1001;1;1;13-Apr;60
IMM1003;1;1;13-Apr;80
ICC3124;1;1;13-Apr;100
IIC1001;1;1;13-Apr;80
IIC2343;1,2;1;13-Apr;198
ICM2333;1;1;14-Apr;60
ICH3374;1;1;14-Apr;40
IMM2043;1;1;14-Apr;30
ICS3811;1;1;14-Apr;40
IEE3864;1;1;14-Apr;12
IMM3313;1;1;17-Apr;20
ICS2123;1;1;17-Apr;120
IMM3323;1;1;17-Apr;30
ICC2204;1;1;17-Apr;60
ICH2204;1;1;17-Apr;100
ICE3443;1;1;17-Apr;25
ICE2020;1;1;17-Apr;20
MAT1640;4,3,2,5,1;1;17-Apr;920
ICE1514;1;1;18-Apr;120
ICS2523;2;1;18-Apr;120
IEE2103;1;1;18-Apr;75
IEE2613;1;1;18-Apr;60
IMM2033;1;1;18-Apr;30
ICH3350;1;1;18-Apr;25
IIQ2023;3,1,2;1;18-Apr;60
EYP1113;1,4,2,3;1;19-Apr;496
IIC3284;1;1;19-Apr;30
ICT2233;1;1;20-Apr;55
